eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
61.0,275.6363636363636,1474,0.00018950675,0.0,1.0192314,-0.00034723105,1639.0221,2.086162567138672e-06,1,2048,1.3887924809969263,2048
61.0,281.835,2491,0.00026574326,0.0,1.0124806,-3.4341007e-05,1742.7139,1.7285346984863281e-06,10,20480,8.921802500997728,20480
61.0,279.185,2556,7.34442e-05,0.0,1.009017,3.9047824e-05,1832.25,1.6689300537109375e-06,20,40960,17.17380878899712,40960
61.0,281.8,2465,3.271278e-06,0.0,1.0220073,-4.7919457e-06,1725.1649,1.9073486328125e-06,30,61440,25.431854542999645,61440
61.0,291.485,2672,5.256309e-06,0.0,1.0153154,-1.6942562e-05,1895.1696,1.6093254089355469e-06,40,81920,33.42138431399508,81920
61.0,267.825,2697,0.0015209316,0.0056152344,1.0114187,-0.0021951112,1534.4728,1.3709068298339844e-06,50,102400,41.01985405199957,102400
61.0,250.65,2662,0.00032601837,0.0,1.0080073,-0.00039848115,1304.3699,1.4901161193847656e-06,60,122880,48.73774010699708,122880
61.0,256.27,2527,0.0004120614,0.0,1.0019497,-0.0002460988,1415.7649,1.5497207641601562e-06,70,143360,56.60774334799498,143360
61.0,271.685,2595,6.2520994e-05,0.0,0.994948,-0.00016759879,1647.0342,1.1324882507324219e-06,80,163840,64.39133694399789,163840
61.0,261.935,2597,4.567286e-05,0.0,0.9823427,8.125063e-05,1358.9674,1.2516975402832031e-06,90,184320,72.1348660779986,184320
61.0,256.44,2553,0.00021651309,0.0,0.9873474,-0.00028895575,1279.0867,1.1324882507324219e-06,100,204800,79.90525284699834,204800
61.0,265.81,2646,1.8293458e-05,0.0,0.9748789,-4.0258972e-05,1442.9175,9.5367431640625e-07,110,225280,87.67098170999816,225280
61.0,266.96,2688,0.00019435452,0.0,0.9719082,0.000120596436,1334.2355,1.0728836059570312e-06,120,245760,95.42121072000009,245760
61.0,283.72,2507,0.000103130355,0.0,0.9594469,-0.00015746398,1683.1288,8.940696716308594e-07,130,266240,103.25513844599482,266240
61.0,316.635,2662,0.0002277742,0.0,0.95200014,-0.0005188852,2229.5417,1.0728836059570312e-06,140,286720,111.0138474790001,286720
61.0,305.24,2713,2.0314334e-05,0.0,0.9476621,0.000121683785,1916.6818,1.0132789611816406e-06,150,307200,118.72565678999672,307200
61.0,307.11,2475,9.829593e-06,0.0,0.9478611,5.8614838e-05,2058.985,1.0132789611816406e-06,160,327680,126.5259869359943,327680
61.0,310.19,2555,5.442445e-06,0.0,0.94269013,2.6985712e-05,2100.9165,8.344650268554688e-07,170,348160,134.24394415999996,348160
61.0,281.81,2566,0.00017900256,0.0,0.93623704,7.789675e-05,1588.1096,7.748603820800781e-07,180,368640,142.0751187059941,368640
61.0,262.71,2676,0.00052549737,0.0007324219,0.9313281,-0.0006625548,1362.7745,8.344650268554688e-07,190,389120,149.85467469899595,389120
61.0,262.08,2544,0.00020580362,0.0,0.9430327,0.00012491336,1445.4062,6.556510925292969e-07,200,409600,157.70193501299946,409600
61.0,280.09,2653,0.00011697777,0.0,0.94627565,-0.00020799138,1560.0118,6.556510925292969e-07,210,430080,165.45029954499478,430080
61.0,289.21,2716,0.00017155606,0.0,0.94719577,-0.00029815675,1652.2903,5.960464477539062e-07,220,450560,173.0691013600008,450560
61.0,279.22,2767,2.7003323e-06,0.0,0.9533305,3.4633907e-05,1560.4602,6.556510925292969e-07,230,471040,180.7682760749958,471040
