eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
61.0,27.90909090909091,1548,3.630985e-05,0.0,1.4175209,-0.0005369686,116.48298,0.003261089324951172,1,2048,1.322846385000048,2048
61.0,18.78,2521,0.0002502224,0.0,1.3978162,-0.0012759388,50.695034,0.20433127880096436,10,20480,8.756749334999768,20480
61.0,13.09,2233,1.6965356e-05,0.0,1.3757567,-0.00014536016,18.280178,0.5220851004123688,20,40960,17.641826115000185,40960
61.0,11.865,2512,0.00022962547,0.0,1.3647231,-5.6817647e-05,12.747395,0.6336202025413513,30,61440,27.169735385999957,61440
61.0,9.61,2689,0.0008546251,0.0008544922,1.3592372,-0.0010977141,7.9295635,0.6453271210193634,40,81920,36.11233491100029,81920
61.0,7.93,2643,0.00079427566,0.0056152344,1.3414894,-0.0007507887,6.931203,0.6685872077941895,50,102400,44.474338701000306,102400
61.0,8.765,2339,0.0002599361,0.0,1.3456074,-0.0005969616,5.62943,0.715674102306366,60,122880,53.066067726000256,122880
61.0,8.105,1900,4.359702e-05,0.0,1.3607029,-0.00046301074,5.426823,0.7216545641422272,70,143360,62.79368507900017,143360
61.0,7.095,2310,0.0007469279,0.0028076172,1.3615838,-0.0007945455,6.624713,0.6988688111305237,80,163840,71.84407413000008,163840
61.0,7.985,2308,0.000670598,0.0010986328,1.3576219,-0.0006418178,5.4852514,0.6982977092266083,90,184320,80.78381887399973,184320
61.0,7.83,2149,7.010938e-05,0.0,1.3669907,-0.00015338472,5.6642046,0.7282208502292633,100,204800,89.75989825600027,204800
61.0,7.675,2200,0.0002796693,0.0,1.3757612,9.4156014e-05,6.0895567,0.7014549970626831,110,225280,98.83921945800012,225280
61.0,7.24,2085,0.00021341433,0.0,1.3763782,9.077322e-05,7.7436156,0.61381396651268,120,245760,108.15526210900043,245760
61.0,7.375,2074,8.293388e-05,0.0,1.3729719,0.00022763813,6.030408,0.6667719483375549,130,266240,118.47308408499975,266240
61.0,7.755,2389,0.0001766618,0.0,1.3773348,-3.243235e-05,6.4353085,0.7066675424575806,140,286720,128.47442105699974,286720
61.0,8.85,1890,8.378447e-05,0.0,1.3932861,0.0005092658,6.056938,0.724980890750885,150,307200,138.12161972499962,307200
61.0,9.395,2260,5.42889e-05,0.0,1.4085873,-0.0004078808,7.0882907,0.7032098472118378,160,327680,147.69686189200002,327680
61.0,8.67,2317,0.00053841365,0.00024414062,1.4156431,-0.00045232303,10.065522,0.6349655091762543,170,348160,157.52411264399962,348160
61.0,10.875,1902,0.0002771889,0.00012207031,1.4311688,-0.0008343316,10.797546,0.6548488140106201,180,368640,167.37949830900016,368640
61.0,11.28,2452,2.0508012e-05,0.0,1.4326938,0.0002280278,9.473813,0.6948079466819763,190,389120,176.60766952199992,389120
61.0,12.12,1954,6.917127e-05,0.0,1.43808,9.245152e-06,13.23793,0.6200230419635773,200,409600,187.26999366699965,409600
61.0,12.365,2267,2.4206001e-05,0.0,1.439849,-0.00012884586,12.657315,0.69656702876091,210,430080,196.45768763700016,430080
61.0,15.215,1935,1.7144775e-05,0.0,1.4392989,3.10349e-05,13.409056,0.6588305532932281,220,450560,206.24168050400021,450560
61.0,15.82,1676,7.4025535e-05,0.0,1.441073,0.00055420125,11.946567,0.7103568017482758,230,471040,216.51410489299997,471040
61.0,13.445,2306,1.2906994e-05,0.0,1.4432054,-0.00023185876,16.691261,0.6469656229019165,240,491520,225.67945455900008,491520
61.0,14.315,2186,8.180465e-05,0.0,1.4512122,-0.00010597764,16.768682,0.6489101648330688,250,512000,234.99657780800044,512000
61.0,14.37,2227,6.7804235e-06,0.0,1.4542655,-8.623909e-05,17.036482,0.6458952724933624,260,532480,245.05903859200043,532480
61.0,17.41,1994,0.00025179348,0.0,1.4625235,-0.0003670483,22.660217,0.6110270321369171,270,552960,256.2189449260004,552960
61.0,19.555,2203,4.5843e-05,0.0,1.4624339,-0.00021059986,28.365425,0.6050116419792175,280,573440,266.2522211209998,573440
61.0,23.78,2265,1.1401188e-05,0.0,1.4651178,9.246823e-05,37.670807,0.5519087314605713,290,593920,275.4903814720001,593920
61.0,21.67,2370,3.8724224e-06,0.0,1.4663225,5.785274e-05,37.710236,0.510048121213913,300,614400,284.8977180989996,614400
61.0,23.265,2392,5.5743867e-06,0.0,1.468326,-5.8665682e-05,35.512157,0.5846457481384277,310,634880,293.62933749900003,634880
61.0,22.495,2311,9.16288e-06,0.0,1.4708056,-9.6300355e-06,34.001484,0.5674641132354736,320,655360,302.746232298,655360
61.0,22.185,2338,6.152026e-05,0.0,1.4679977,-0.00017442723,42.095295,0.5354263782501221,330,675840,312.3464603149996,675840
61.0,22.13,2224,3.6998186e-05,0.0,1.4705027,-6.667002e-05,34.56338,0.5589202046394348,340,696320,321.20338274999995,696320
61.0,25.235,2228,0.00010201323,0.0,1.473575,-0.0003249125,36.693302,0.5942237675189972,350,716800,330.5595077280004,716800
61.0,24.185,2162,0.00012424227,0.0,1.4707534,-0.00066712033,45.808228,0.5271051824092865,360,737280,339.6572642049996,737280
61.0,25.845,2184,2.5988676e-05,0.0,1.4700516,-7.953432e-05,44.78839,0.5582228004932404,370,757760,348.8052202130002,757760
61.0,27.925,2379,0.00025827705,0.00012207031,1.4693922,-0.00058321323,48.903408,0.5283466279506683,380,778240,357.85539195900037,778240
61.0,28.385,2236,0.00015405832,0.0,1.4687762,0.00018840551,50.099777,0.5135153234004974,390,798720,366.8625575400001,798720
61.0,30.695,2286,0.00027639396,0.0,1.4684986,-0.00019556587,72.77079,0.48197460174560547,400,819200,375.7267638109997,819200
61.0,34.125,2482,7.407587e-05,0.0,1.4648154,-0.00015807708,63.683475,0.465740442276001,410,839680,384.8945177940004,839680
61.0,32.195,2398,6.081418e-06,0.0,1.4626285,3.82085e-05,73.80804,0.46549326181411743,420,860160,393.89120277300026,860160
61.0,33.92,2251,7.242848e-05,0.0,1.462651,0.00018397876,80.380974,0.4464825391769409,430,880640,402.6948235099999,880640
61.0,39.26,2023,2.9148548e-05,0.0,1.4622972,-8.233922e-05,81.56962,0.4564402103424072,440,901120,412.8461062690003,901120
61.0,42.755,2437,1.9127461e-05,0.0,1.4619279,0.00026775387,135.17981,0.3735419511795044,450,921600,421.8418495630003,921600
61.0,40.54,2279,2.1518794e-05,0.0,1.459562,-2.3240864e-06,108.11958,0.4587329030036926,460,942080,431.60714448900035,942080
61.0,43.145,1900,3.279394e-05,0.0,1.4603171,-0.00020721252,126.93487,0.3806228041648865,470,962560,441.44102142500014,962560
61.0,42.195,1648,1.4088224e-05,0.0,1.4612842,0.00011224381,114.94594,0.411548912525177,480,983040,451.18030129199997,983040
61.0,45.78,2155,0.00045800424,0.0,1.4591951,-2.0640146e-05,122.78155,0.4198008179664612,490,1003520,460.41327778199957,1003520
61.0,45.12,2255,0.00027902174,0.0,1.4600993,-0.00021304854,125.051346,0.4465925693511963,500,1024000,469.4439802710003,1024000
61.0,48.825,2455,0.00015695479,0.0,1.4580704,-0.00030834324,128.40416,0.4416370987892151,510,1044480,478.4622298940003,1044480
61.0,50.04,2220,9.189668e-05,0.0,1.4588604,0.00023640264,164.93515,0.38994789123535156,520,1064960,487.51119561500036,1064960
61.0,53.57,2352,4.7868425e-06,0.0,1.4548571,9.435025e-07,183.24712,0.3656439185142517,530,1085440,496.22088203099975,1085440
61.0,53.93,2317,0.00026634563,0.0,1.4535109,-0.00095287734,191.65428,0.35652250051498413,540,1105920,505.19299010099985,1105920
