eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
61.0,38.71212121212121,1582,5.1186806e-05,0.0,1.4208676,-0.00052088965,121.31554,0.014307975769042969,1,2048,1.294387292000465,2048
61.0,34.195,2616,1.1793907e-06,0.0,1.429606,1.4914782e-05,90.38603,0.15088427066802979,10,20480,8.334052064999923,20480
61.0,48.845,2190,0.0008160436,0.0021972656,1.4446671,-0.0014730715,160.35829,0.19860345125198364,20,40960,16.66132326600018,40960
61.0,85.32,2470,4.411045e-05,0.0,1.4511119,0.00018926655,385.79456,0.11673378944396973,30,61440,24.926716791999752,61440
61.0,112.55,2708,7.6913406e-05,0.0,1.452301,-0.00039303675,568.35754,0.09521514177322388,40,81920,33.26358662199982,81920
61.0,148.795,2581,4.4553467e-06,0.0,1.4557483,-6.615129e-05,806.243,0.05696374177932739,50,102400,41.53617335099989,102400
61.0,161.035,2385,4.8629503e-05,0.0,1.4559007,-0.00046931312,998.14374,0.050800979137420654,60,122880,49.52895539800011,122880
61.0,172.965,2651,1.6752147e-05,0.0,1.4575533,-0.0002753163,1128.9109,0.030022084712982178,70,143360,57.727167635000114,143360
61.0,173.985,2495,5.1286634e-06,0.0,1.4581157,-5.5780278e-05,1200.9452,0.03197336196899414,80,163840,66.01763451599982,163840
61.0,180.27,2400,5.48373e-06,0.0,1.4582715,-8.340794e-06,1109.7167,0.037935495376586914,90,184320,74.34763742399991,184320
61.0,195.36,2641,7.725014e-06,0.0,1.4581815,-2.2680651e-05,1312.0688,0.024959564208984375,100,204800,82.44795432400042,204800
61.0,193.265,2472,1.5359034e-05,0.0,1.4586523,-0.00010358491,1155.456,0.022571325302124023,110,225280,90.61707738000041,225280
61.0,184.995,2497,6.6823304e-07,0.0,1.4583292,2.1431915e-05,1140.9349,0.021378278732299805,120,245760,98.88797682899985,245760
61.0,195.585,2486,8.389605e-06,0.0,1.4579294,-2.6913403e-05,1170.0583,0.021215736865997314,130,266240,106.90338799199981,266240
61.0,187.19,2549,2.0245108e-05,0.0,1.4573852,-8.437935e-05,1018.4626,0.019288599491119385,140,286720,115.06405338000059,286720
61.0,171.855,2501,1.4627549e-05,0.0,1.4581133,-1.750415e-05,909.8041,0.01448357105255127,150,307200,123.12741200399978,307200
61.0,175.34,2472,1.8952811e-05,0.0,1.4580643,-0.00011077655,948.5002,0.021024763584136963,160,327680,131.2991343020003,327680
61.0,193.18,2670,1.8096425e-05,0.0,1.4583541,-5.1743482e-05,1179.3127,0.015401005744934082,170,348160,139.23502521699993,348160
61.0,172.815,2496,1.0953034e-05,0.0,1.4588075,8.822967e-05,811.52167,0.021209239959716797,180,368640,147.46434237100038,368640
61.0,156.345,2481,6.139981e-05,0.0,1.46086,-0.00016996061,701.23126,0.026393353939056396,190,389120,155.72570238900062,389120
61.0,165.29,2573,7.967718e-05,0.0,1.4646018,5.099957e-05,880.86707,0.02236008644104004,200,409600,163.9249014799998,409600
61.0,180.98,2491,6.950357e-05,0.0,1.4673419,-0.00023205532,900.6974,0.02700144052505493,210,430080,172.1384022860002,430080
61.0,164.56,2460,2.2615768e-05,0.0,1.4704907,-6.834848e-05,759.13947,0.033820509910583496,220,450560,180.19036422600038,450560
61.0,191.995,2502,7.286836e-06,0.0,1.4728223,-5.727107e-05,982.71405,0.0252530574798584,230,471040,188.3768312680004,471040
61.0,187.39,2491,2.0635785e-05,0.0,1.473434,-1.8492632e-05,961.51196,0.022587060928344727,240,491520,196.35615062800025,491520
61.0,177.915,2495,0.00017299713,0.0,1.4773724,-0.00026035486,832.507,0.03225147724151611,250,512000,204.59513805700044,512000
61.0,191.705,2552,9.031307e-05,0.0,1.4813802,5.707369e-05,966.21704,0.032512128353118896,260,532480,212.7080188230002,532480
61.0,162.34,2601,7.004126e-05,0.0,1.4840695,0.0002096942,697.04065,0.04470175504684448,270,552960,220.68828985900018,552960
61.0,182.705,2487,2.735235e-05,0.0,1.4830792,6.576709e-06,859.44385,0.03668767213821411,280,573440,228.86400276400036,573440
61.0,173.555,2477,0.0001956321,0.0,1.4829688,3.832602e-05,856.8796,0.04323387145996094,290,593920,236.77765753600033,593920
61.0,183.82,2396,1.1682389e-05,0.0,1.4830811,8.591947e-05,977.69806,0.038737475872039795,300,614400,245.04759348000061,614400
61.0,191.26,2642,0.00022606461,0.0,1.4823476,-0.00031697232,946.82904,0.03111577033996582,310,634880,253.1844683979998,634880
61.0,188.215,2626,0.00017577891,0.0,1.4845788,-0.00034999358,917.7268,0.0400121808052063,320,655360,261.36362415199983,655360
61.0,176.86,2623,0.00017404521,0.0,1.4792624,-0.00022283326,709.0692,0.067768394947052,330,675840,269.3357634940003,675840
61.0,170.115,2469,4.4267646e-05,0.0,1.4806979,4.8193324e-06,772.0225,0.0624355673789978,340,696320,277.3202868570006,696320
61.0,167.1,2431,9.425254e-05,0.0,1.4828064,-0.0001557105,717.8858,0.06215834617614746,350,716800,285.3564220549997,716800
61.0,186.85,2591,0.00049761654,0.0,1.4829043,0.00016261789,892.4027,0.06047070026397705,360,737280,293.58585130699976,737280
61.0,202.15,2459,0.00041286353,0.0,1.4815071,-0.0006382317,1167.816,0.041130006313323975,370,757760,301.4844847180002,757760
60.84,201.005,2454,2.3368426e-05,0.0,1.4827679,-2.6712456e-05,1191.456,0.03436559438705444,380,778240,309.73863232199983,778240
