eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
4.51,-235.8275,1075,1.7353304e-05,0.0,2.9956975,-0.00078077335,11745.43,0.006099283695220947,1,2048,1.9044523670017952,2048
4.83,-233.2425,1470,0.0005005209,0.0,2.9668407,-0.0038431208,10225.917,-0.032735347747802734,10,20480,15.223795953002991,20480
13.73,-222.75,1496,0.00024642464,0.0,2.500178,-0.0033681653,4156.974,-0.030570387840270996,20,40960,29.023789319006028,40960
29.56,-179.5175,1490,5.1759114e-05,0.0,2.3233294,-0.0017180371,2712.794,-0.009080290794372559,30,61440,42.72815316800552,61440
47.2,-33.1225,1509,5.2460564e-05,0.0,2.1068397,-0.0013293657,2555.829,-0.0020633935928344727,40,81920,56.37461677700048,81920
51.68,17.7975,1497,2.9014374e-05,0.0,2.0393972,0.0006510151,2819.441,0.0031871795654296875,50,102400,70.035765232009,102400
49.0,-26.525,1515,3.050978e-05,0.0,2.0175915,0.0003510237,2315.777,0.0033077597618103027,60,122880,83.65229857500526,122880
53.2,-10.765,1482,7.589203e-05,0.0,1.8698481,0.00096447906,2164.4177,0.014084279537200928,70,143360,97.42831661499804,143360
55.26,10.0525,1488,0.00014154945,0.0,1.7714899,0.002501097,2373.32,0.021367907524108887,80,163840,166.883408943002,163840
54.06,-6.865,1492,9.514181e-05,0.0,1.6126288,0.0014643065,2208.3396,0.02628457546234131,90,184320,180.51129868499993,184320
56.1,-1.085,1507,0.0006010478,0.0,1.3342979,-0.0068405503,1636.4012,0.023211300373077393,100,204800,194.09778644501057,204800
57.68,4.5725,1510,9.565262e-05,0.0,1.2055079,0.0015590482,1199.8342,0.048091769218444824,110,225280,207.6864981539984,225280
57.02,12.2325,1492,0.00010812729,0.0,1.0033143,0.0023893006,1214.6799,0.06488960981369019,120,245760,221.28191518300446,245760
57.79,23.26,1518,0.00018705265,0.0,1.0326909,0.0030927167,1303.5527,0.05678725242614746,130,266240,234.87033228200744,266240
59.19,26.03,1513,9.194987e-05,0.0,0.8483055,0.001917932,859.6994,0.11639070510864258,140,286720,248.46174406600767,286720
56.56,30.37,1504,0.0001661641,0.0,0.8381956,0.00289469,1132.0984,0.08323132991790771,150,307200,262.05110517700086,307200
58.45,35.5225,1489,0.00014999673,0.00024414062,0.77201885,0.002368557,1128.0286,0.09720718860626221,160,327680,275.6744014680007,327680
56.1,23.0875,1501,8.607762e-05,0.0,0.7372048,-0.0008070208,1238.4863,0.05742770433425903,170,348160,289.2593152010086,348160
59.36,79.6925,1505,4.5620793e-05,0.00012207031,0.6415498,-0.0006675085,1640.1697,0.1675134301185608,180,368640,302.8719442020083,368640
60.29,98.7525,1499,7.9302205e-05,0.0,0.56631577,-0.00036158424,1197.8416,0.21033412218093872,190,389120,316.4648578510096,389120
61.0,92.2025,1507,0.00016997868,0.0,0.5286149,4.4366912e-05,650.21234,0.3026832342147827,200,409600,330.0220919179992,409600
60.24,82.8225,1504,3.2986198e-05,0.0,0.51575446,-0.00024651014,864.82227,0.2627354860305786,210,430080,343.62518907700724,430080
61.0,65.235,1501,0.00033254712,0.0,0.51873153,0.00020558454,391.64313,0.3946579694747925,220,450560,357.26425316699897,450560
61.0,47.4925,1503,0.00015793381,0.0,0.41515276,0.0005310484,194.21805,0.5163899958133698,230,471040,370.8559015799983,471040
61.0,37.1875,1499,6.502845e-05,0.0,0.42413285,-0.0009984697,154.32481,0.4897594451904297,240,491520,449.7069670780038,491520
61.0,59.51,1501,5.348925e-05,0.0,0.44673708,-0.0006580051,140.56813,0.45000308752059937,250,512000,463.3681941090035,512000
61.0,80.7075,1503,0.0002490709,0.0,0.37330195,-0.0012229409,173.77559,0.394773006439209,260,532480,477.0066651380039,532480
61.0,92.965,1464,1.5633164e-05,0.0,0.29008147,-7.8339945e-05,235.58632,0.2771293520927429,270,552960,490.6774352939974,552960
61.0,97.84,1495,4.401918e-05,0.0,0.27129,0.00025749998,195.02063,0.23661059141159058,280,573440,504.30530936599826,573440
61.0,100.1175,1503,2.1571695e-05,0.0,0.25172806,-1.3221084e-05,208.46967,0.2127496600151062,290,593920,517.9080688859976,593920
61.0,99.8825,1486,1.16820065e-05,0.0,0.23365846,2.8369483e-05,235.68777,0.2292453646659851,300,614400,531.5902439269994,614400
61.0,98.23,1506,7.6141194e-05,0.0,0.24274202,2.4255904e-05,193.75719,0.20104563236236572,310,634880,545.2370246500068,634880
61.0,99.3775,1492,1.6248407e-05,0.0,0.25162482,9.273767e-05,218.81424,0.21840524673461914,320,655360,558.8386659500102,655360
61.0,104.195,1482,1.5757629e-05,0.0,0.22587907,-0.00014945843,240.8681,0.17411315441131592,330,675840,572.4519440480071,675840
61.0,105.0425,1503,1.0174571e-05,0.0,0.224637,-0.000118992975,214.10707,0.14973676204681396,340,696320,586.0591349940078,696320
61.0,109.93,1509,0.00012335567,0.00036621094,0.24403453,-0.0007687602,228.44386,0.15198665857315063,350,716800,599.674860500003,716800
61.0,113.3025,1504,0.00011345763,0.0,0.27691263,-0.0005300238,310.69193,0.11312001943588257,360,737280,613.3299661190104,737280
61.0,134.355,1494,0.0010722106,0.013427734,0.44130614,-0.002663844,369.30072,0.1208992600440979,370,757760,626.912436921004,757760
61.0,186.4325,1494,4.6636393e-05,0.0,0.6488768,-0.00021231962,822.55927,0.06735950708389282,380,778240,640.5367744609975,778240
61.0,310.055,1495,0.0015881647,0.0,0.6075517,0.0011720931,2325.065,0.009376466274261475,390,798720,654.1584827990009,798720
61.0,354.7875,1502,2.847088e-05,0.0,0.42829308,-9.447464e-05,2695.0745,0.0029270052909851074,400,819200,667.8273050580028,819200
61.0,381.625,1501,3.521732e-05,0.0,0.25906825,-6.741873e-06,3046.8667,0.0012211799621582031,410,839680,681.459319629008,839680
61.0,381.6575,1500,1.84439e-05,0.0,0.16601259,-8.102856e-05,3322.1196,0.0015435218811035156,420,860160,695.1295531270007,860160
61.0,389.355,1538,1.87046e-05,0.0,0.19322719,-0.00021051645,3263.4473,0.001043856143951416,430,880640,708.7503561979975,880640
61.0,385.4075,1504,4.8477716e-07,0.0,0.22674966,-1.0274292e-05,3031.1719,0.00036090612411499023,440,901120,722.409571606011,901120
61.0,393.24,1457,3.2136709e-06,0.0,0.18012115,3.829156e-05,3242.0269,0.0011644363403320312,450,921600,736.3330119790044,921600
61.0,395.1,1490,1.8267881e-05,0.0,0.17390566,-6.865071e-05,3240.3235,0.0014298558235168457,460,942080,750.10985102001,942080
61.0,396.22,1512,3.957354e-06,0.0,0.12974462,-1.762883e-05,3335.0332,0.0011187195777893066,470,962560,763.7978629670106,962560
61.0,393.795,1496,3.1804295e-06,0.0,0.121096656,-7.075508e-05,3311.4578,0.0010149478912353516,480,983040,777.485745441998,983040
61.0,399.91,1477,2.2016425e-07,0.0,0.101335265,-5.8527803e-06,3287.2117,0.0009906888008117676,490,1003520,791.1827730280056,1003520
61.0,398.18,1501,1.1516984e-07,0.0,0.1173351,2.3085886e-06,3188.8096,0.000796198844909668,500,1024000,804.8259355940099,1024000
61.0,399.2,1482,3.2754274e-06,0.0,0.09501544,-2.4475696e-05,3036.3562,0.0008698701858520508,510,1044480,818.6712648550019,1044480
61.0,402.0375,1497,7.395469e-08,0.0,0.08501164,1.6336271e-06,3127.8416,0.00033104419708251953,520,1064960,832.5103442550026,1064960
61.0,400.63,1443,1.308682e-07,0.0,0.071241066,-3.432826e-06,3039.412,0.0005360841751098633,530,1085440,846.3024479059968,1085440
61.0,400.2725,1471,8.138644e-07,0.0,0.04705837,-3.3257937e-05,3241.461,0.00032013654708862305,540,1105920,860.2141424630099,1105920
61.0,403.1275,1415,4.842343e-08,0.0,0.04510566,-9.292853e-07,3228.1921,0.00039708614349365234,550,1126400,996.9525050990051,1126400
61.0,401.13,1440,6.860618e-08,0.0,0.04550857,-8.6816726e-07,2955.7544,0.0003279447555541992,560,1146880,1010.9954624230013,1146880
61.0,404.9425,1436,6.533344e-08,0.0,0.051549282,-1.3354584e-06,3054.4275,0.00036847591400146484,570,1167360,1025.1252837479988,1167360
61.0,406.9,1402,2.405368e-07,0.0,0.042055983,-1.7261249e-05,2979.3625,0.00020843744277954102,580,1187840,1039.2962726550031,1187840
61.0,396.52,1349,1.5175365e-06,0.0,0.048406392,-4.9184688e-05,2998.5618,0.00018733739852905273,590,1208320,1053.8227858960017,1208320
61.0,393.37,1475,7.08787e-08,0.0,0.03504476,-3.842404e-06,2856.4858,6.383657455444336e-05,600,1228800,1068.390748728998,1228800
61.0,399.6425,1436,3.5795113e-06,0.0,0.03366815,-6.288006e-05,3087.021,0.00010204315185546875,610,1249280,1082.2435729120043,1249280
61.0,398.2425,1450,2.261002e-08,0.0,0.029887408,-4.254369e-06,3021.6685,5.620718002319336e-05,620,1269760,1096.159959520999,1269760
61.0,401.55,1494,1.2949233e-06,0.0,0.032019433,-2.1413041e-05,3072.9775,0.00010782480239868164,630,1290240,1110.0692991340038,1290240
61.0,404.51,1483,2.8144216e-06,0.0,0.037429117,-7.137492e-05,3013.5059,9.077787399291992e-05,640,1310720,1123.9491299660003,1310720
61.0,396.42,1347,5.291698e-08,0.0,0.035792243,1.0987133e-06,2818.707,0.0001061558723449707,650,1331200,1138.4497042540024,1331200
61.0,397.0225,1448,5.251553e-07,0.0,0.037770983,5.012931e-06,3000.9111,5.0902366638183594e-05,660,1351680,1152.6625685550098,1351680
61.0,399.9025,1445,3.8210598e-07,0.0,0.04331679,-1.8737268e-05,2748.4282,1.3113021850585938e-06,670,1372160,1167.3304238220007,1372160
61.0,407.4225,1474,1.5133589e-08,0.0,0.034211386,5.927868e-07,2983.532,1.6808509826660156e-05,680,1392640,1181.2350622460071,1392640
61.0,401.105,1407,9.550967e-08,0.0,0.034831487,3.8117287e-06,2863.4375,2.6941299438476562e-05,690,1413120,1196.652245448,1413120
61.0,394.3625,1405,6.7387355e-06,0.0,0.040899936,-7.7457604e-05,2755.6255,1.722574234008789e-05,700,1433600,1210.8625375590054,1433600
61.0,400.315,1434,2.495766e-07,0.0,0.038562655,1.1460455e-05,3006.3516,1.0788440704345703e-05,710,1454080,1225.4090293320041,1454080
61.0,403.285,1467,6.6828593e-06,0.0,0.023801224,-9.1969094e-05,3013.05,1.2040138244628906e-05,720,1474560,1239.5219465810078,1474560
61.0,404.3525,1432,1.6315404e-08,0.0,0.02138773,7.202616e-07,2910.6877,0.0,730,1495040,1253.5276324570004,1495040
61.0,400.9625,1473,5.025447e-06,0.0,0.019315826,-9.267373e-05,2867.2346,-8.225440979003906e-06,740,1515520,1267.445735856003,1515520
61.0,394.7975,1469,1.3365297e-08,0.0,0.020216137,1.1720549e-06,2917.093,4.291534423828125e-06,750,1536000,1281.6854454700078,1536000
61.0,397.625,1455,5.997529e-09,0.0,0.020772617,6.658229e-07,2930.87,-2.1457672119140625e-06,760,1556480,1295.5917132940085,1556480
61.0,402.38,1468,9.775332e-07,0.0,0.029352954,1.5216996e-05,2983.0737,3.814697265625e-06,770,1576960,1309.777128611997,1576960
61.0,405.46,1505,2.5414345e-06,0.0,0.03334835,-3.7597114e-05,2931.5269,7.748603820800781e-07,780,1597440,1323.7137454339972,1597440
