eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
61.0,414.3181818181818,1838,4.0977353e-05,0.0,0.81803894,0.0002514219,3723.351,0.014256715774536133,1,2048,1.1139889559999574,2048
61.0,412.9475,3335,0.0010067231,0.0,0.77751213,-0.00029735413,3928.0898,0.0077628493309021,10,20480,6.62648970700684,20480
61.0,399.5575,3249,0.00043997628,0.0,0.7566737,-0.0010934433,3904.2234,0.020363926887512207,20,40960,12.883526546007488,40960
61.0,403.5625,2686,5.5177003e-05,0.0,0.77018696,0.00015258431,4120.082,0.017363905906677246,30,61440,19.48345954999968,61440
61.0,396.105,3148,9.939598e-05,0.0,0.72592175,-7.741334e-05,3886.4077,0.01023942232131958,40,81920,25.879356172998087,81920
61.0,412.6125,2817,0.00019685709,0.0,0.666677,-0.00013496596,3785.3416,0.012226104736328125,50,102400,32.807194130000426,102400
61.0,386.44,3288,0.0005773602,0.012329102,0.70710677,-0.0010865856,3472.3708,0.01291126012802124,60,122880,39.53176945800078,122880
61.0,393.4075,3134,0.0006483502,0.0,0.76272357,-0.00072611496,3806.412,0.01242130994796753,70,143360,46.2783211950009,143360
61.0,403.64,3387,0.00024307129,0.0,0.6808912,-7.9722784e-05,3761.5188,0.021046102046966553,80,163840,52.55260563601041,163840
61.0,398.4225,3325,0.0010361788,0.0008544922,0.6865741,-0.0011897045,3675.0632,0.007859587669372559,90,184320,58.820143528006156,184320
61.0,376.6025,3288,5.8962818e-05,0.0,0.6937547,-0.00027538394,3505.7856,0.009305953979492188,100,204800,65.04464886400092,204800
61.0,379.25,3025,0.00017248197,0.0,0.7789045,-8.6214015e-05,3583.8389,0.005545139312744141,110,225280,71.5480160950101,225280
61.0,393.155,3332,0.00048185667,0.0,0.80142134,-0.00039177242,3612.269,0.019292473793029785,120,245760,78.0289568570006,245760
61.0,392.195,3323,0.0001474727,0.0,0.7416041,-0.00027574145,3398.5793,0.01716327667236328,130,266240,84.35617571300827,266240
61.0,376.19,3276,0.00071690074,0.0,0.6687435,-0.0013006758,3399.0764,0.02040386199951172,140,286720,90.55347190900648,286720
61.0,408.3075,3405,0.0010937514,0.0,0.6872683,-0.00043641677,3686.9707,0.015830695629119873,150,307200,96.75406157100224,307200
61.0,411.02,3362,6.0224607e-05,0.0,0.6816534,-1.4782563e-06,3764.4705,0.009790956974029541,160,327680,102.98978529400483,327680
61.0,396.0925,3329,0.00015055678,0.0,0.68214536,0.00020226702,3599.6345,0.015380024909973145,170,348160,109.15510935500788,348160
61.0,399.0275,3255,0.00030329026,0.0,0.75737756,-0.00070522237,3570.7754,0.009663879871368408,180,368640,115.51049534299818,368640
61.0,403.62,3398,0.00035619555,0.0,0.8344178,-0.0003814852,3646.958,0.0033641457557678223,190,389120,121.90392980100296,389120
61.0,405.415,3333,0.0035502529,0.04724121,0.9394364,-0.0012069028,3766.774,-0.0033550262451171875,200,409600,128.2511649500084,409600
61.0,404.855,3269,0.0014367558,0.0,0.9528352,-0.0010955461,3820.6492,0.004512906074523926,210,430080,134.52303856200888,430080
61.0,404.095,3296,0.00013493572,0.0,0.94863814,-0.0002471979,3726.4424,0.01088404655456543,220,450560,140.92570414600777,450560
61.0,410.9325,2645,0.00023897736,0.0,0.91883695,-0.00040699408,3725.7383,0.031993567943573,230,471040,147.46968605701113,471040
61.0,401.1725,2994,0.00019064936,0.0,0.90450925,-3.001764e-05,3892.0217,0.0028742551803588867,240,491520,155.3073120330082,491520
