eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
4.66,-237.5375,1794,2.0932115e-05,0.0,2.9956954,-0.000879179,12228.781,-0.003229379653930664,1,2048,1.1411305710062152,2048
5.13,-233.65,3230,0.0020191178,0.0,2.9455705,-0.0046893903,10272.949,-0.03917431831359863,10,20480,7.01762815300026,20480
13.78,-223.2325,2991,0.00040535018,0.0,2.5258904,-0.0055942573,4252.46,-0.02713179588317871,20,40960,13.94738028300344,40960
24.83,-199.4325,3130,5.9719907e-05,0.0,2.3438745,-0.002180802,3176.81,-0.011966466903686523,30,61440,20.439972709995345,61440
45.8,-67.08,3337,0.00031080103,0.0,1.9820834,-0.0034182514,2768.9739,-0.0016635656356811523,40,81920,26.694182897001156,81920
51.83,7.615,3317,2.1678188e-05,0.0,1.817452,0.00011540027,2432.9548,0.00412905216217041,50,102400,32.89797419200477,102400
54.28,37.5075,3226,4.1834508e-05,0.0,1.6220573,0.00047370413,2691.7727,0.012124776840209961,60,122880,39.06373584800167,122880
53.33,9.01,3270,0.0001202668,0.0,1.4431958,0.00023021747,2470.2417,0.022269904613494873,70,143360,45.25682371700532,143360
54.66,-8.57,3240,6.1368635e-05,0.0,1.1171585,-0.00025313528,1585.9558,0.0692143440246582,80,163840,51.41617067999323,163840
58.32,12.2275,3333,3.638408e-05,0.0,0.7652074,0.0010851774,1021.2031,0.12987864017486572,90,184320,57.63220584100054,184320
58.6,23.34,3274,0.00016806398,0.0,0.6535116,0.0013240497,954.80786,0.19520080089569092,100,204800,63.79266416300379,204800
59.96,24.615,3332,8.072801e-05,0.00012207031,0.58226466,0.00081411045,910.962,0.1957646608352661,110,225280,70.00378611100314,225280
59.14,3.305,3250,0.00052913366,0.005004883,0.49735397,-0.005166291,563.43414,0.05094778537750244,120,245760,76.29611362899595,245760
58.96,7.4625,3337,8.763421e-05,0.0,0.5083704,-0.0033202362,527.06396,0.12891018390655518,130,266240,82.5001514129981,266240
60.15,20.6975,3204,8.8412075e-05,0.00012207031,0.5502444,-0.0002609563,401.82758,0.2867391109466553,140,286720,88.70478855900001,286720
60.19,42.9825,3347,0.0007411262,0.0087890625,0.6452925,0.005721552,902.579,0.1688251495361328,150,307200,95.06554072500148,307200
59.96,44.425,3207,9.575012e-05,0.0,0.5537248,-0.0016517488,830.3983,0.14245104789733887,160,327680,101.29032758199901,327680
59.17,40.735,3267,2.8981449e-05,0.0,0.49857903,0.00042489846,718.15314,0.22078198194503784,170,348160,107.56662931499886,348160
59.25,56.1425,3231,0.0001300582,0.0,0.43794337,-0.0005429505,938.78,0.20245134830474854,180,368640,113.79540150500543,368640
61.0,46.6675,3208,0.00037397558,0.0,0.43313992,-4.1087726e-05,314.35892,0.4165394902229309,190,389120,120.0053627659945,389120
61.0,36.955,3268,0.00053198874,0.00048828125,0.33381742,0.00035018343,217.3657,0.46153581142425537,200,409600,126.25977058899298,409600
61.0,24.69,3332,5.214604e-05,0.0,0.288718,-0.0006058942,79.61653,0.6116303503513336,210,430080,132.44574278200162,430080
61.0,32.025,3356,0.0001603902,0.0,0.3181378,-0.0006839348,50.0853,0.5776275992393494,220,450560,138.73144701500132,450560
61.0,39.3725,3291,2.6225385e-05,0.0,0.24397433,-1.6637903e-05,101.44342,0.3335736393928528,230,471040,144.97391145900474,471040
